박쥐문별전,ㅂㅏㄱᴥㅈㅟᴥㅁㅜㄴᴥㅂㅕㄹᴥㅈㅓㄴᴥ
가브리엘레 뮌터,ㄱㅏᴥㅂㅡᴥㄹㅣᴥㅇㅔㄹᴥㄹㅔᴥ ㅁㅟㄴᴥㅌㅓᴥ
아르테미스,ㅇㅏᴥㄹㅡᴥㅌㅔᴥㅁㅣᴥㅅㅡᴥ
가사도,ㄱㅏᴥㅅㅏᴥㄷㅗᴥ
가산,ㄱㅏᴥㅅㅏㄴᴥ
가상현실,ㄱㅏᴥㅅㅏㅇᴥㅎㅕㄴᴥㅅㅣㄹᴥ
가서일,ㄱㅏᴥㅅㅓᴥㅇㅣㄹᴥ
가순궁도서순조생모수빈박씨,ㄱㅏᴥㅅㅜㄴᴥㄱㅜㅇᴥㄷㅗᴥㅅㅓᴥㅅㅜㄴᴥㅈㅗᴥㅅㅐㅇᴥㅁㅗᴥㅅㅜᴥㅂㅣㄴᴥㅂㅏㄱᴥㅆㅣᴥ
인인면,ㅇㅣㄴᴥㅇㅣㄴᴥㅁㅕㄴᴥ
가스통,ㄱㅏᴥㅅㅡᴥㅌㅗㅇᴥ
라세즈,ㄹㅏᴥㅅㅔᴥㅈㅡᴥ
마스페로,ㅁㅏᴥㅅㅡᴥㅍㅔᴥㄹㅗᴥ
가스파르,ㄱㅏᴥㅅㅡᴥㅍㅏᴥㄹㅡᴥ
푸생,ㅍㅜᴥㅅㅐㅇᴥ
가시광선,ㄱㅏᴥㅅㅣᴥㄱㅘㅇᴥㅅㅓㄴᴥ
가시도,ㄱㅏᴥㅅㅣᴥㄷㅗᴥ
가쓰시카,ㄱㅏᴥㅆㅡᴥㅅㅣᴥㅋㅏᴥ
호쿠사이,ㅎㅗᴥㅋㅜᴥㅅㅏᴥㅇㅣᴥ
가야,ㄱㅏᴥㅇㅑᴥ
가욕관,ㄱㅏᴥㅇㅛㄱᴥㄱㅘㄴᴥ
채화전묘,ㅊㅐᴥㅎㅘᴥㅈㅓㄴᴥㅁㅛᴥ
가우덴초,ㄱㅏᴥㅇㅜᴥㄷㅔㄴᴥㅊㅗᴥ
페르라리,ㅍㅔᴥㄹㅡᴥㄹㅏᴥㄹㅣᴥ
가우라,ㄱㅏᴥㅇㅜᴥㄹㅏᴥ
가우지,ㄱㅏᴥㅇㅜᴥㅈㅣᴥ
가이야르 성,ㄱㅏᴥㅇㅣᴥㅇㅑᴥㄹㅡᴥ ㅅㅓㅇᴥ
반가사유상,ㅂㅏㄴᴥㄱㅏᴥㅅㅏᴥㅇㅠᴥㅅㅏㅇᴥ
가제트 데 보자르,ㄱㅏᴥㅈㅔᴥㅌㅡᴥ ㄷㅔᴥ ㅂㅗᴥㅈㅏᴥㄹㅡᴥ
가죽색,ㄱㅏᴥㅈㅜㄱᴥㅅㅐㄱᴥ
가즈니,ㄱㅏᴥㅈㅡᴥㄴㅣᴥ
가지문,ㄱㅏᴥㅈㅣᴥㅁㅜㄴᴥ
가진,ㄱㅏᴥㅈㅣㄴᴥ
가타멜라타 기마상,ㄱㅏᴥㅌㅏᴥㅁㅔㄹᴥㄹㅏᴥㅌㅏᴥ ㄱㅣᴥㅁㅏᴥㅅㅏㅇᴥ
가현운동,ㄱㅏᴥㅎㅕㄴᴥㅇㅜㄴᴥㄷㅗㅇᴥ
가형석관,ㄱㅏᴥㅎㅕㅇᴥㅅㅓㄱᴥㄱㅘㄴᴥ
각 돔,ㄱㅏㄱᴥ ㄷㅗㅁᴥ
각림,ㄱㅏㄱᴥㄹㅣㅁᴥ
각배,ㄱㅏㄱᴥㅂㅐᴥ
각성,ㄱㅏㄱᴥㅅㅓㅇᴥ
각시탈,ㄱㅏㄱᴥㅅㅣᴥㅌㅏㄹᴥ
각원사,ㄱㅏㄱᴥㅇㅝㄴᴥㅅㅏᴥ
각저,ㄱㅏㄱᴥㅈㅓᴥ
각저총,ㄱㅏㄱᴥㅈㅓᴥㅊㅗㅇᴥ
